quiscense;166534;338588;49
deltaprune;10561;6
pvs;24887;172054;14
asp;10211;172054;5
pv;5471;33847;16
ebf;16.94;5.10;2.96;2.86;2.90;2.94;2.45;
info string pawnhash-hits: 85.36%
2;4;1
3;37;1
4;4;1
5;32;1
6;26;1
7;35;1
8;22;1
2;4;1
3;37;1
4;4;1
5;32;1
6;26;1
7;35;1
8;22;1
quiscense;24955;294894;8
deltaprune;15;0
pvs;22604;269939;8
asp;65211;269939;24
pv;94861;101195;93
ebf;3.61;3.77;2.97;2.40;1.72;1.65;1.96;1.25;1.30;1.42;1.42;1.37;1.37;1.47;1.16;1.51;1.22;1.13;1.63;1.31;1.16;1.16;1.19;1.08;1.12;1.27;1.11;
info string pawnhash-hits: 88.95%
2;4;1
2;5;0
2;6;0
2;7;0
2;8;0
2;9;0
2;10;0
2;11;0
2;12;0
2;13;0
2;14;0
2;15;0
2;16;0
2;17;0
2;18;0
2;19;0
2;20;0
2;21;0
2;22;0
2;23;0
2;24;0
2;25;0
2;26;0
2;27;0
2;28;0
2;29;0
2;30;0
2;31;0
2;32;0
2;33;0
2;34;0
2;35;0
2;36;0
2;37;0
2;38;0
2;39;0
2;40;0
2;41;0
2;42;0
2;43;0
2;44;0
2;45;0
2;46;0
2;47;0
2;48;0
2;49;0
2;50;1
3;37;1
3;38;0
3;39;0
3;40;0
3;41;0
3;42;1
4;4;1
4;5;0
4;6;0
4;7;0
4;8;0
4;9;0
4;10;0
4;11;0
4;12;0
4;13;0
4;14;0
4;15;0
4;16;0
4;17;0
4;18;0
4;19;0
4;20;0
4;21;0
4;22;0
4;23;0
4;24;0
4;25;0
4;26;0
4;27;0
4;28;0
4;29;0
4;30;0
4;31;0
4;32;0
4;33;0
4;34;1
5;32;1
5;33;0
5;34;0
5;35;0
5;36;1
6;26;1
6;27;0
6;28;0
6;29;0
6;30;0
6;31;0
6;32;0
6;33;0
6;34;0
6;35;0
6;36;0
6;37;0
6;38;0
6;39;0
6;40;0
6;41;0
6;42;0
6;43;0
6;44;1
7;35;1
7;36;0
7;37;0
7;38;0
7;39;0
7;40;0
7;41;0
7;42;0
7;43;0
7;44;1
8;22;1
8;23;0
8;24;0
8;25;0
8;26;0
8;27;0
8;28;0
8;29;0
8;30;0
8;31;0
8;32;0
8;33;0
8;34;0
8;35;0
8;36;0
8;37;0
8;38;0
8;39;0
8;40;0
8;41;0
8;42;0
8;43;0
8;44;0
8;45;0
8;46;0
8;47;0
8;48;0
8;49;0
8;50;0
8;51;1
9;51;1
10;44;1
11;44;1
12;43;1
13;43;1
14;51;1
15;48;1
16;49;1
17;49;1
18;49;1
19;49;1
2;4;1
2;5;0
2;6;0
2;7;0
2;8;0
2;9;0
2;10;0
2;11;0
2;12;0
2;13;0
2;14;0
2;15;0
2;16;0
2;17;0
2;18;0
2;19;0
2;20;0
2;21;0
2;22;0
2;23;0
2;24;0
2;25;0
2;26;0
2;27;0
2;28;0
2;29;0
2;30;0
2;31;0
2;32;0
2;33;0
2;34;0
2;35;0
2;36;0
2;37;0
2;38;0
2;39;0
2;40;0
2;41;0
2;42;0
2;43;0
2;44;0
2;45;0
2;46;0
2;47;0
2;48;0
2;49;0
2;50;1
3;37;1
3;38;0
3;39;0
3;40;0
3;41;0
3;42;1
4;4;1
4;5;0
4;6;0
4;7;0
4;8;0
4;9;0
4;10;0
4;11;0
4;12;0
4;13;0
4;14;0
4;15;0
4;16;0
4;17;0
4;18;0
4;19;0
4;20;0
4;21;0
4;22;0
4;23;0
4;24;0
4;25;0
4;26;0
4;27;0
4;28;0
4;29;0
4;30;0
4;31;0
4;32;0
4;33;0
4;34;1
5;32;1
5;33;0
5;34;0
5;35;0
5;36;1
6;26;1
6;27;0
6;28;0
6;29;0
6;30;0
6;31;0
6;32;0
6;33;0
6;34;0
6;35;0
6;36;0
6;37;0
6;38;0
6;39;0
6;40;0
6;41;0
6;42;0
6;43;0
6;44;1
7;35;1
7;36;0
7;37;0
7;38;0
7;39;0
7;40;0
7;41;0
7;42;0
7;43;0
7;44;1
8;22;1
8;23;0
8;24;0
8;25;0
8;26;0
8;27;0
8;28;0
8;29;0
8;30;0
8;31;0
8;32;0
8;33;0
8;34;0
8;35;0
8;36;0
8;37;0
8;38;0
8;39;0
8;40;0
8;41;0
8;42;0
8;43;0
8;44;0
8;45;0
8;46;0
8;47;0
8;48;0
8;49;0
8;50;0
8;51;1
9;51;1
10;44;1
11;44;1
12;43;1
13;43;1
14;51;1
15;48;1
16;49;1
17;49;1
18;49;1
19;49;1
